date,region,filled_jobs
2020-04-01,southland,46684.0
2020-04-01,taranaki,51089.0
2020-04-01,tasman,24058.0
2020-04-01,waikato,204846.0
2020-04-01,wellington,243830.0
2020-04-01,west_coast,14382.0
2020-05-01,auckland,746596.0
2020-05-01,bay_of_plenty,135774.0
2020-05-01,canterbury,288308.0
2020-05-01,gisborne,21422.0
2020-05-01,hawke's_bay,77023.0
2020-05-01,manawatu_whanganui,106163.0
2020-05-01,marlborough,26461.0
2020-05-01,nelson,20022.0
2020-05-01,northland,67613.0
2020-05-01,otago,109707.0
2020-05-01,southland,46985.0
2020-05-01,taranaki,51340.0
2020-05-01,tasman,24122.0
2020-05-01,waikato,206799.0
2020-05-01,wellington,245366.0
2020-05-01,west_coast,14409.0
2020-06-01,auckland,747086.0
2020-06-01,bay_of_plenty,133803.0
2020-06-01,canterbury,288508.0
2020-06-01,gisborne,21519.0
2020-06-01,hawke's_bay,76488.0
2020-06-01,manawatu_whanganui,106034.0
2020-06-01,marlborough,26295.0
2020-06-01,nelson,20126.0
2020-06-01,northland,67646.0
2020-06-01,otago,109395.0
2020-06-01,southland,46433.0
2020-06-01,taranaki,51485.0
2020-06-01,tasman,23934.0
2020-06-01,waikato,207140.0
2020-06-01,wellington,246355.0
2020-06-01,west_coast,14400.0
2020-07-01,auckland,740274.0
2020-07-01,bay_of_plenty,132331.0
2020-07-01,canterbury,286853.0
2020-07-01,gisborne,21330.0
2020-07-01,hawke's_bay,75400.0
2020-07-01,manawatu_whanganui,105914.0
2020-07-01,marlborough,25962.0
2020-07-01,nelson,19965.0
2020-07-01,northland,67314.0
2020-07-01,otago,108281.0
2020-07-01,southland,45701.0
2020-07-01,taranaki,51308.0
2020-07-01,tasman,23591.0
2020-07-01,waikato,206398.0
2020-07-01,wellington,245368.0
2020-07-01,west_coast,14167.0
2020-08-01,auckland,738251.0
2020-08-01,bay_of_plenty,132575.0
2020-08-01,canterbury,287234.0
2020-08-01,gisborne,21396.0
2020-08-01,hawke's_bay,74820.0
2020-08-01,manawatu_whanganui,106215.0
2020-08-01,marlborough,26006.0
2020-08-01,nelson,19984.0
2020-08-01,northland,67475.0
2020-08-01,otago,108020.0
2020-08-01,southland,45702.0
2020-08-01,taranaki,51614.0
2020-08-01,tasman,23718.0
2020-08-01,waikato,207187.0
2020-08-01,wellington,246359.0
2020-08-01,west_coast,14262.0
2020-09-01,auckland,736078.0
2020-09-01,bay_of_plenty,132958.0
2020-09-01,canterbury,287590.0
2020-09-01,gisborne,21502.0
2020-09-01,hawke's_bay,74864.0
2020-09-01,manawatu_whanganui,106641.0
2020-09-01,marlborough,25951.0
2020-09-01,nelson,19889.0
2020-09-01,northland,67833.0
2020-09-01,otago,107283.0
2020-09-01,southland,45890.0
2020-09-01,taranaki,51722.0
2020-09-01,tasman,23633.0
2020-09-01,waikato,207776.0
2020-09-01,wellington,246893.0
2020-09-01,west_coast,14153.0
2020-10-01,auckland,742847.0
2020-10-01,bay_of_plenty,135157.0
2020-10-01,canterbury,290009.0
2020-10-01,gisborne,22094.0
2020-10-01,hawke's_bay,75769.0
2020-10-01,manawatu_whanganui,108156.0
2020-10-01,marlborough,26061.0
2020-10-01,nelson,20171.0
2020-10-01,northland,69186.0
2020-10-01,otago,108693.0
2020-10-01,southland,46523.0
2020-10-01,taranaki,51869.0
2020-10-01,tasman,23788.0
2020-10-01,waikato,210051.0
2020-10-01,wellington,249249.0
2020-10-01,west_coast,14390.0
2020-11-01,auckland,746399.0
2020-11-01,bay_of_plenty,137094.0
2020-11-01,canterbury,291714.0
2020-11-01,gisborne,22320.0
2020-11-01,hawke's_bay,77357.0
2020-11-01,manawatu_whanganui,109023.0
2020-11-01,marlborough,26353.0
2020-11-01,nelson,20416.0
2020-11-01,northland,69948.0
2020-11-01,otago,109379.0
2020-11-01,southland,47353.0
2020-11-01,taranaki,52755.0
2020-11-01,tasman,24144.0
2020-11-01,waikato,211752.0
2020-11-01,wellington,250218.0
2020-11-01,west_coast,14517.0
2020-12-01,auckland,754819.0
2020-12-01,bay_of_plenty,138735.0
2020-12-01,canterbury,295180.0
2020-12-01,gisborne,23015.0
2020-12-01,hawke's_bay,80369.0
2020-12-01,manawatu_whanganui,110420.0
2020-12-01,marlborough,26639.0
2020-12-01,nelson,20733.0
2020-12-01,northland,70895.0
2020-12-01,otago,111347.0
2020-12-01,southland,49013.0
2020-12-01,taranaki,53449.0
2020-12-01,tasman,24806.0
2020-12-01,waikato,214839.0
2020-12-01,wellington,253026.0
2020-12-01,west_coast,14748.0
2021-01-01,auckland,733686.0
2021-01-01,bay_of_plenty,134508.0
2021-01-01,canterbury,287079.0
2021-01-01,gisborne,22342.0
2021-01-01,hawke's_bay,77643.0
2021-01-01,manawatu_whanganui,107653.0
2021-01-01,marlborough,26002.0
2021-01-01,nelson,20285.0
2021-01-01,northland,68821.0
2021-01-01,otago,108696.0
2021-01-01,southland,48078.0
2021-01-01,taranaki,52429.0
2021-01-01,tasman,24219.0
2021-01-01,waikato,209267.0
2021-01-01,wellington,246263.0
2021-01-01,west_coast,14402.0
2021-02-01,auckland,742549.0
2021-02-01,bay_of_plenty,135294.0
2021-02-01,canterbury,290456.0
2021-02-01,gisborne,22581.0
2021-02-01,hawke's_bay,79243.0
2021-02-01,manawatu_whanganui,108937.0
2021-02-01,marlborough,26173.0
2021-02-01,nelson,20356.0
2021-02-01,northland,69529.0
2021-02-01,otago,109469.0
2021-02-01,southland,48577.0
2021-02-01,taranaki,53013.0
2021-02-01,tasman,24294.0
2021-02-01,waikato,211881.0
2021-02-01,wellington,249465.0
2021-02-01,west_coast,14522.0
2021-03-01,auckland,747388.0
2021-03-01,bay_of_plenty,138027.0
2021-03-01,canterbury,292015.0
2021-03-01,gisborne,22925.0
2021-03-01,hawke's_bay,80031.0
2021-03-01,manawatu_whanganui,109370.0
2021-03-01,marlborough,26542.0
2021-03-01,nelson,20428.0
2021-03-01,northland,70138.0
2021-03-01,otago,109820.0
2021-03-01,southland,48104.0
2021-03-01,taranaki,53065.0
2021-03-01,tasman,24588.0
2021-03-01,waikato,212767.0
2021-03-01,wellington,250462.0
2021-03-01,west_coast,14510.0
2021-04-01,auckland,750679.0
2021-04-01,bay_of_plenty,140418.0
2021-04-01,canterbury,292591.0
2021-04-01,gisborne,22647.0
2021-04-01,hawke's_bay,79968.0
2021-04-01,manawatu_whanganui,108949.0
2021-04-01,marlborough,26454.0
2021-04-01,nelson,20356.0
2021-04-01,northland,70658.0
2021-04-01,otago,109748.0
2021-04-01,southland,47866.0
2021-04-01,taranaki,53076.0
2021-04-01,tasman,24470.0
2021-04-01,waikato,213584.0
2021-04-01,wellington,250419.0
2021-04-01,west_coast,14535.0
2021-05-01,auckland,754059.0
2021-05-01,bay_of_plenty,141343.0
2021-05-01,canterbury,292925.0
2021-05-01,gisborne,22643.0
2021-05-01,hawke's_bay,79147.0
2021-05-01,manawatu_whanganui,109485.0
2021-05-01,marlborough,26229.0
2021-05-01,nelson,20448.0
2021-05-01,northland,70783.0
2021-05-01,otago,109352.0
2021-05-01,southland,47642.0
2021-05-01,taranaki,53235.0
2021-05-01,tasman,24381.0
2021-05-01,waikato,214181.0
2021-05-01,wellington,250895.0
2021-05-01,west_coast,14433.0
2021-06-01,auckland,757326.0
2021-06-01,bay_of_plenty,140592.0
2021-06-01,canterbury,294297.0
2021-06-01,gisborne,22700.0
2021-06-01,hawke's_bay,79214.0
2021-06-01,manawatu_whanganui,110057.0
2021-06-01,marlborough,26160.0
2021-06-01,nelson,20534.0
